10,E
11,E
12,E
13,E
15,W
16,W
17,E
18,W
19,E
20,W
21,E
22,W
24,W
28,W
29,E
31,E
35,W
36,W
38,E
43,N
44,S
56,W
57,E
58,W
59,E
60,N
61,S
64,S
65,N
87,W
98,N
99,S
500,E
501,W
502,E
503,W
504,E
505,W
508,E
509,W
518,S
519,N
520,S
522,S
523,N
528,N
529,S
534,N
535,S
536,E
537,W
541,S
542,N
545,S
546,N
549,E
550,W
555,S
556,N
561,N
562,S
563,E
564,W
565,W
566,E
567,W
568,E
573,N
575,W
705,W
1000,W
1001,E
1002,W
1003,E
1006,W
1007,E
1010,W
1011,E
1012,W
1013,E
1014,N
1015,S
1016,N
1017,S
1018,N
1019,S
1024,E
1025,W
1026,N
1027,S
1033,W
1038,N
1039,S
1040,N
1041,S
1042,N
1044,W
1054,N
1055,S
1058,S
1059,N
1066,W
1067,E
1073,W
1200,N
1201,S
1202,N
1203,S
1204,N
1205,S
1206,W
1207,E
1208,W
1209,E
1210,W
1211,E
1214,N
1215,S
1409,W
1416,S
1417,E
1450,W
1451,E
1500,W
1501,E
1504,W
1505,E
1506,W
1507,E
1508,W
1509,E
1510,W
1511,E
1512,W
1513,E
1514,W
1515,E
1522,W
1523,E
1524,W
1530,W
1531,E
1532,W
1533,E
1534,W
1535,E
1543,E
1544,W
1546,S
1547,N
1548,S
1555,S
1556,N
1557,E
1558,W
1561,E
1562,W
1580,W
1584,S
1585,N
1595,E
1596,W
1597,E
1598,W
1599,E
1600,W
1603,E
1604,W
1605,E
1606,W
1611,E
1613,S
1614,N
1615,S
1616,N
1617,S
1618,N
1619,S
1620,N
1621,E
1622,W
1623,E
1624,W
1625,E
1626,W
1627,E
1628,W
1662,S
1663,N
1664,S
1665,N
1666,N
1667,S
1671,N
1672,S
1673,N
1677,E
1693,S
1694,N
1700,S
1702,N
1703,S
1730,W
1731,E
1732,W
1733,E
1761,E
1762,W
1763,E
1764,W
1765,E
1766,W
1767,E
1768,W
1801,E
1802,W
1820,W
1821,E
1900,N
2000,S
2001,N
2002,S
2003,N
2004,W
2005,E
2006,W
2007,E
2008,W
2009,E
2011,S
2012,N
2015,E
2016,W
2018,W
2019,E
2024,W
2025,E
2026,W
2033,E
2500,S
2505,N
2508,S
2509,N
2510,S
2511,N
2512,W
2513,E
2514,W
2515,E
2516,W
2517,E
2520,W
2521,E
2524,E
2525,E
2526,W
2527,N
2528,E
2529,W
2556,S
2557,W
2558,W
2565,E
2566,W
2577,N
2578,S
2579,N
2580,S
2587,N
2588,S
2590,N
2591,S
2592,E
2593,W
2595,N
2598,S
2603,E
2604,W
2605,E
2606,W
2607,S
2608,N
2624,W
2625,E
3000,S
3002,S
3003,N
3004,S
3005,N
3006,S
3007,N
3008,S
3009,N
3010,S
3011,N
3014,S
3015,N
3016,S
3017,N
3018,S
3019,N
3020,S
3021,N
3024,S
